HHID;HV000;HV001;HV002;HV003;HV004;HV005;HV006;HV007;HV008;HV008A;HV009;HV010;HV011;HV012;HV013;HV014;HV015;HV016;HV017;HV018;HV019;HV020;HV021;HV022;HV023;HV024;HV025;HV026;HV027;HV028;HV030;HV031;HV032;HV035;HV040;HV041;HV042;HV044;HV045A;HV045B;HV045C;HV046;HV047;HV048;HV801;HV802;HV803;HV804;HV807D;HV807M;HV807Y;HV807C;HV807A
       3  43;MZ8;     3;    43;  1;   3; 1118721; 8;2022;1472;44779; 3; 0; 3; 2; 3; 0;1; 6;1;  101;   ;0;   3;   1;   1; 1;1; ;1; 1121203;  100;     ;   ; 0;1363; 0;1;1;  2;  2;  2;0;    1;     ;1218;1245;27; ;  ;  ;    ;    ;     
       3  51;MZ8;     3;    51;  0;   3;       0; 8;2022;1472;44782; 0; 0; 0; 0; 0; 0;3; 9;1;  102;   ;0;   3;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1363; 0;1;0;   ;   ;   ; ;    1;     ;    ;    ;  ; ;  ;  ;    ;    ;     
       3  58;MZ8;     3;    58;  2;   3; 1118721; 8;2022;1472;44781; 2; 0; 1; 2; 1; 0;1; 8;1;  101;   ;0;   3;   1;   1; 1;1; ;1; 1121203;  100;     ;   ; 0;1363; 0;0;1;  2;  2;  2;0;    1;     ;1116;1139;23; ;  ;  ;    ;    ;     
       3  65;MZ8;     3;    65;  1;   3; 1118721; 8;2022;1472;44779; 2; 1; 0; 2; 2; 1;1; 6;1;  102;   ;0;   3;   1;   1; 1;1; ;0;       0;  100;     ;   ; 1;1363; 1;1;1;  2;  2;  2;0;    1;     ; 855; 933;38;1; 6; 8;2022;1472;44779
       3  73;MZ8;     3;    73;  1;   3; 1118721; 8;2022;1472;44780; 4; 1; 0; 4; 4; 1;1; 7;3;  102;   ;0;   3;   1;   1; 1;1; ;1; 1121203;  100;     ;   ; 0;1363; 0;0;0;  2;  2;  2;0;    1;     ; 830; 840;96; ;  ;  ;    ;    ;     
       3  80;MZ8;     3;    80;  1;   3; 1118721; 8;2022;1472;44779; 2; 0; 0; 2; 1; 0;1; 6;1;  102;   ;0;   3;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1363; 1;1;0;  2;  2;  2;0;    1;     ;1244;1315;31;1; 9; 8;2022;1472;44782
       3  88;MZ8;     3;    88;  0;   3;       0; 8;2022;1472;44782; 0; 0; 0; 0; 0; 0;6; 9;1;  102;   ;0;   3;   1;   1; 1;1; ;1;       0;  100;     ;   ; 0;1363; 0;0;0;   ;   ;   ; ;    1;     ;    ;    ;  ; ;  ;  ;    ;    ;     
       3  95;MZ8;     3;    95;  0;   3;       0; 8;2022;1472;44782; 0; 0; 0; 0; 0; 0;6; 9;2;  103;   ;0;   3;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1363; 0;1;0;   ;   ;   ; ;    1;     ;    ;    ;  ; ;  ;  ;    ;    ;     
       3 102;MZ8;     3;   102;  1;   3; 1118721; 8;2022;1472;44780; 1; 0; 1; 1; 1; 0;1; 7;1;  102;   ;0;   3;   1;   1; 1;1; ;1; 1121203;  100;     ;   ; 0;1363; 0;0;1;  2;  2;  2;0;    1;     ; 849; 900;11; ;  ;  ;    ;    ;     
       3 110;MZ8;     3;   110;  1;   3; 1118721; 8;2022;1472;44779; 8; 2; 0; 8; 8; 5;1; 6;1;  103;   ;0;   3;   1;   1; 1;1; ;0;       0;  100;     ;   ; 5;1363; 2;1;1;  2;  2;  2;0;    1;     ;1504;1538;34;3; 8; 8;2022;1472;44781
       3 117;MZ8;     3;   117;  2;   3; 1118721; 8;2022;1472;44779; 3; 1; 1; 3; 3; 1;1; 6;1;  103;   ;0;   3;   1;   1; 1;1; ;1; 1121203;  100;     ;   ; 1;1363; 1;1;1;  2; 11; 11;0;    1;     ; 854; 915;21;1; 8; 8;2022;1472;44781
       3 125;MZ8;     3;   125;  1;   3; 1118721; 8;2022;1472;44779; 6; 2; 0; 6; 6; 2;1; 6;1;  103;   ;0;   3;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1363; 0;0;1;  2;  2;  2;0;    1;     ;1101;1128;27; ;  ;  ;    ;    ;     
       3 132;MZ8;     3;   132;  2;   3; 1118721; 8;2022;1472;44780; 4; 1; 1; 4; 4; 2;1; 7;1;  104;   ;0;   3;   1;   1; 1;1; ;1; 1121203;  100;     ;   ; 2;1363; 1;1;1;  2; 11; 11;0;    1;     ; 852; 915;23;1; 9; 8;2022;1472;44782
       3 139;MZ8;     3;   139;  2;   3; 1118721; 8;2022;1472;44780;16; 2; 0;16;16; 4;1; 7;1;  103;   ;0;   3;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1363; 0;0;1;  2;  2;  2;0;    1;     ;1056;1141;45; ;  ;  ;    ;    ;     
       3 147;MZ8;     3;   147;  1;   3; 1118721; 8;2022;1472;44780; 5; 2; 0; 4; 4; 0;1; 7;1;  104;   ;0;   3;   1;   1; 1;1; ;1; 1121203;  100;     ;   ; 0;1363; 0;0;0;  2; 11; 11;0;    1;     ;1112;1143;31; ;  ;  ;    ;    ;     
       3 154;MZ8;     3;   154;  1;   3; 1118721; 8;2022;1472;44781; 6; 0; 0; 6; 6; 1;1; 8;1;  103;   ;0;   3;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1363; 0;0;0;  2;  2;  2;0;    1;     ; 742; 802;20; ;  ;  ;    ;    ;     
       3 162;MZ8;     3;   162;  2;   3; 1118721; 8;2022;1472;44780; 9; 1; 3; 9; 6; 0;1; 7;1;  104;   ;0;   3;   1;   1; 1;1; ;1; 1121203;  100;     ;   ; 0;1363; 0;0;1;  2; 11; 11;0;    1;     ;1400;1513;73; ;  ;  ;    ;    ;     
       3 170;MZ8;     3;   170;  2;   3; 1118721; 8;2022;1472;44779; 7; 1; 0; 7; 7; 2;1; 6;1;  104;   ;0;   3;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1363; 0;0;1;  2; 11; 11;0;    1;     ;1627;1701;34; ;  ;  ;    ;    ;     
       3 177;MZ8;     3;   177;  2;   3; 1118721; 8;2022;1472;44779; 9; 2; 1; 9; 9; 2;1; 6;1;  104;   ;0;   3;   1;   1; 1;1; ;1; 1121203;  100;     ;   ; 2;1363; 2;1;1;  2; 11; 11;0;    1;     ;1332;1408;36;2; 7; 8;2022;1472;44780
       3 185;MZ8;     3;   185;  1;   3; 1118721; 8;2022;1472;44780; 4; 1; 0; 4; 4; 2;1; 7;1;  104;   ;0;   3;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1363; 0;0;1;  2;  2;  1;0;    1;     ;1222;1245;23; ;  ;  ;    ;    ;     
       3 192;MZ8;     3;   192;  1;   3; 1118721; 8;2022;1472;44779; 7; 3; 0; 6; 7; 1;1; 6;1;  104;   ;0;   3;   1;   1; 1;1; ;1; 1121203;  100;     ;   ; 1;1363; 3;1;0;  2; 11; 11;0;    1;     ; 904; 951;47;1; 6; 8;2022;1472;44779
       4   4;MZ8;     4;     4;  5;   4;  729728; 8;2022;1472;44787; 8; 1; 0; 8; 7; 1;1;14;1;  101;   ;0;   4;   1;   1; 1;1; ;0;       0;  100;     ;   ; 1;1347; 1;1;1;  2;  2;  2;0;    1;     ;1550;1622;32;1;16; 8;2022;1472;44789
       4  10;MZ8;     4;    10;  2;   4;  729728; 8;2022;1472;44787; 3; 1; 1; 3; 3; 0;1;14;1;  104;   ;0;   4;   1;   1; 1;1; ;1;  731348;  100;     ;   ; 0;1347; 1;1;1;  2;  2;  1;0;    1;     ; 934;1010;36;3;17; 8;2022;1472;44790
       4  15;MZ8;     4;    15;  1;   4;  729728; 8;2022;1472;44787; 4; 0; 0; 4; 2; 0;1;14;1;  101;   ;0;   4;   1;   1; 1;1; ;0;       0;  100;     ;   ; 0;1347; 0;0;0;  2;  2;  2;0;    1;     ;1236;1311;35; ;  ;  ;    ;    ;     
