HHID;CASEID;V801;V802;V803;V804;V805;V806;V811;V812;V813;V814;V815A;V815B;V815C
     167  40;     167  40 03;1656;1714;18;1;  405;  ;0;0;0;0;0;0;0
     167  44;     167  44 02;1632;1657;96;2;  405;  ;0;0;0;0;0;0;0
     167  49;     167  49 02;1759;1833;34;1;  405;  ;0;0;0;0;0;0;0
     167  67;     167  67 02;1021;1038;17;1;  403;  ;0;0;0;0;0;0;0
     167  71;     167  71 02;1053;1134;41;1;  405;  ;0;0;0;0;0;0;0
     167  71;     167  71 03;1314;1400;46;1;  405;  ;0;0;0;0;0;0;0
     167  90;     167  90 02;1323;1410;47;1;  406;  ;0;0;0;0;0;0;0
     167  94;     167  94 02;1716;1758;42;1;  406;  ;0;0;0;0;0;0;0
     167 103;     167 103 02;1200;1232;32;1;  406;  ;0;0;0;0;0;0;0
     167 108;     167 108 01;1105;1110;96;3;  406;  ;0;0;0;0;0;0;0
     167 112;     167 112 02;1601;1707;66;1;  406;  ;2;0;0;0;0;0;0
     168   1;     168   1 03;1207;1221;14;1;  402;  ;0;0;0;0;0;0;0
     168   4;     168   4 02;1256;1358;62;1;  401;  ;0;0;0;0;0;0;0
     168   4;     168   4 05;1526;1448;96;3;  401;  ;0;0;0;0;0;0;0
     168   4;     168   4 06;1759;1815;16;1;  401;  ;0;0;0;0;0;0;0
     168  12;     168  12 02;1957;1936;96;3;  401;  ;0;0;0;0;0;0;0
     168  12;     168  12 05;1958; 727;97;1;  401;  ;0;0;0;0;0;0;0
     168  18;     168  18 02;1224;1326;96;2;  402;  ;0;0;0;0;0;0;0
     168  20;     168  20 02;1443;1443;96;3;  401;  ;0;0;0;0;0;0;0
     168  23;     168  23 02;1700;1700;96;3;  401;  ;0;0;0;0;0;0;0
     168  25;     168  25 02;1534;1637;63;1;  401;  ;0;0;0;0;0;0;0
     168  27;     168  27 02;1338;1538;95;1;  402;  ;0;0;0;0;0;0;0
     168  29;     168  29 02;1702;1752;50;1;  401;  ;0;0;0;0;0;0;0
     168  31;     168  31 01;1304;1344;40;1;  401;  ;0;0;0;0;0;0;0
     168  33;     168  33 02;1703;1757;54;1;  401;  ;0;0;0;0;0;0;0
     168  35;     168  35 02;1358;1528;90;1;  401;  ;0;0;0;0;0;0;0
     168  37;     168  37 02;1227;1227;96;2;  401;  ;0;0;0;0;0;0;0
     168  39;     168  39 02;1758;1835;37;1;  402;  ;0;0;0;0;0;0;0
     168  39;     168  39 04;1800;1817;17;1;  401;  ;0;0;0;0;0;0;0
     168  42;     168  42 01; 805; 843;38;1;  402;  ;0;0;0;0;0;0;0
     168  44;     168  44 02; 927; 911;96;2;  402;  ;0;0;0;0;0;0;0
     168  46;     168  46 02;1317;1350;33;1;  402;  ;0;0;0;0;0;0;0
     168  48;     168  48 02;1420;1503;43;1;  402;  ;0;0;0;0;0;0;0
     168  50;     168  50 02;1829;1829;96;3;  402;  ;0;0;0;0;0;0;0
     168  52;     168  52 02;1444;1502;18;1;  402;  ;0;0;0;0;0;0;0
     169   3;     169   3 02;1638;1717;96;3;  401;  ;0;0;0;0;0;0;0
     169  12;     169  12 02;1254;1318;24;1;  403;  ;0;0;0;0;0;0;0
     169  12;     169  12 03;1333;1412;39;1;  403;  ;0;0;0;0;0;0;0
     169  20;     169  20 02;1348;1421;33;1;  401;  ;0;0;0;0;0;0;0
     169  28;     169  28 02; 758; 831;33;1;  403;  ;0;0;0;0;0;0;0
     169  44;     169  44 02; 843; 859;16;1;  403;  ;0;0;0;0;0;0;0
     169  53;     169  53 02;1053;1120;27;1;  401;  ;0;0;0;0;0;0;0
     169  69;     169  69 01;1701;1712;96;3;  401;  ;0;0;0;0;0;0;0
     169  77;     169  77 02;1018;1042;24;1;  402;  ;0;0;0;0;0;0;0
     169  85;     169  85 02;1612;1628;96;4;  401;  ;0;0;0;0;0;0;0
     169 102;     169 102 02; 921; 926;96;2;  401;  ;0;0;0;0;0;0;0
     169 102;     169 102 03;1252;1304;96;2;  401;  ;0;0;0;0;0;0;0
     169 118;     169 118 02;1238;1345;67;1;  403;  ;0;0;0;0;0;0;0
     169 126;     169 126 02; 904; 935;31;1;  403;  ;0;0;0;0;0;0;0
     169 151;     169 151 02;1448;1505;17;1;  403;  ;0;0;0;0;0;0;0
     169 167;     169 167 02;1608;1629;21;1;  402;  ;0;0;0;0;0;0;0
     169 175;     169 175 02;1420;1438;18;1;  402;  ;0;0;0;0;0;0;0
     169 184;     169 184 01;1520;1533;13;1;  402;  ;0;0;0;0;0;0;0
     169 200;     169 200 02;1108;1132;24;1;  402;  ;0;0;0;0;0;0;0
     170   1;     170   1 02;1623;1623;96;3;  402;  ;0;0;0;0;0;0;0
     170   9;     170   9 02;1644;1801;77;1;  402;  ;0;0;0;0;0;0;0
     170  12;     170  12 02;1817;1834;17;1;  402;  ;0;0;0;0;0;0;0
     170  16;     170  16 02;1334;1416;42;1;  402;  ;0;0;0;0;0;0;0
     170  20;     170  20 02; 753; 803;10;1;  405;  ;0;0;0;0;0;0;0
     170  23;     170  23 02;1311;1311;96;3;  402;  ;0;0;0;0;0;0;0
     170  27;     170  27 02;1822;1858;36;1;  405;  ;0;0;0;0;0;0;0
     170  31;     170  31 02;1438;1519;41;1;  402;  ;0;0;0;0;0;0;0
     170  49;     170  49 01;1624;1644;20;1;  402;  ;0;0;0;0;0;0;0
     170  53;     170  53 02;1217;1254;37;1;  406;  ;0;0;0;0;0;0;0
     170  64;     170  64 03;1056;1123;27;1;  406;  ;0;0;0;0;0;0;0
     170  67;     170  67 02;1723;1752;29;1;  405;  ;0;0;0;0;0;0;0
     170  71;     170  71 02;1555;1635;40;1;  405;  ;0;0;0;0;0;0;0
     170  71;     170  71 04;1636;1647;11;1;  405;  ;0;0;0;0;0;0;0
     170  78;     170  78 02;1548;1604;96;2;  405;  ;0;0;0;0;0;0;0
     170  93;     170  93 02; 948;1028;40;1;  406;  ;0;0;0;0;0;0;0
     171   1;     171   1 02;1130;1203;33;1;  401;  ;0;0;0;0;0;0;0
     171   9;     171   9 02;1440;1341;96;3;  401;  ;0;0;0;0;0;0;0
     171  13;     171  13 01; 936; 958;22;1;  403;  ;0;0;0;0;0;0;0
     171  16;     171  16 02;1112;1133;21;1;  403;  ;0;0;0;0;0;0;0
     171  20;     171  20 02; 441; 449;96;3;  403;  ;0;0;0;0;0;0;0
     171  24;     171  24 01; 611; 627;96;2;  403;  ;0;0;0;0;0;0;0
     171  31;     171  31 02;1444;1508;24;1;  403;  ;0;0;0;0;0;0;0
     171  39;     171  39 02;1637;1703;26;1;  403;  ;0;0;0;0;0;0;0
     171  42;     171  42 02;1326;1341;15;1;  403;  ;0;0;0;0;0;0;0
     171  46;     171  46 02; 716; 734;18;1;  401;  ;0;0;0;0;0;0;0
     171  54;     171  54 02;1305;1323;18;1;  401;  ;0;0;0;0;0;0;0
     171  57;     171  57 02;1722;1737;15;1;  403;  ;0;0;0;0;0;0;0
     171  61;     171  61 02; 809; 827;18;1;  403;  ;0;0;0;0;0;0;0
     171  65;     171  65 02;1533;1620;47;1;  401;  ;0;0;0;0;0;0;0
     171  69;     171  69 01;1911;1848;96;3;  401;  ;0;0;0;0;0;0;0
     171  69;     171  69 02; 849; 901;12;1;  401;  ;0;0;0;0;0;0;0
