MCASEID;MMTH1;MMTH2;MMTH3;MMTH4;MMTH5;MMTH6;MMTH7;MMTH8;MMTH9;MMTH10;MMTH11;MMTH12;MMTH13;MMTH14;MMTH15;MMTH16;MMTH17;MMTH18A;MMTH18B;MMTH18C;MMTH18D;MMTH18E;MMTH18F;MMTH18G;MMTH18H;MMTH18I;MMTH18J;MMTH18K;MMTH18L;MMTH18M;MMTH18N;MMTH18O;MMTH18P;MMTH18X;MMTH19;MMTH20;MMTH21;MMTH22;MMTH23;MMTH24
       9 110  1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 0;2; 0
      10   7  4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 1;2; 0
      10  15  1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 2;2; 0
      10  31  3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 0;2; 0
      10  38  1;0;0;1;0;0;0;2;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0; ; ; ; ; ; ; ;0;0;0;0; 2;2; 3
      10  62  2;2;0;2;2;1;2;1;1;3;2;1;1;3;2;1;0;1;0;0;0;0;0;0;1;1;0; ; ; ; ; ; ; ;0;0;0;0;14;1;10
      10  69  1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 3;2; 1
      10  85  2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 0;2; 0
      10 101  1;1;0;1;0;0;0;0;0;1;0;1;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 4;2; 2
      11  10  1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0; ; ; ; ; ; ; ;0;0;0;0; 4;2; 0
      11  20  1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 2;2; 0
      11  40  1;2;2;1;2;1;2;1;1;1;2;1;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 9;1;11
      11  51  2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 0;2; 0
      11  61  1;0;0;1;0;1;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 3;2; 2
      11  71  2;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 4;2; 0
      11  71  7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 0;2; 0
      11  82  1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 3;2; 0
      11 102  1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 0;2; 0
      11 113  1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 0;2; 0
      11 113  4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 0;2; 0
      11 113  5;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0; ; ; ; ; ; ; ;0;0;0;0; 2;2; 0
      11 123  1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 1;2; 0
      11 133  1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 1;2; 0
      12   2  1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 3;2; 1
      12  10  1;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0; ; ; ; ; ; ; ;0;0;0;0; 4;2; 0
      12  18  3;2;2;2;2;1;1;1;0;2;2;2;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0; ; ; ; ; ; ; ;0;0;0;0; 8;2;11
      12  18 13;0;0;1;0;0;0;0;0;0;0;2;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0; ; ; ; ; ; ; ;0;0;0;0; 4;2; 1
      12  26  4;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 3;2; 1
      12  26  5;0;0;0;0;0;1;0;1;1;0;0;2;2;0;0;0;1;0;0;0;0;0;0;0;1;0; ; ; ; ; ; ; ;0;0;0;0; 6;2; 1
      12  26  6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 1;2; 0
      12  34  1;0;0;1;1;0;0;0;2;2;2;1;2;0;2;2;0;1;1;0;0;0;0;0;1;1;0; ; ; ; ; ; ; ;0;0;0;0;13;1; 2
      12  42  1;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 2;2; 2
      12  50  6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 1;2; 0
      12  50 12;0;0;0;1;0;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 3;2; 2
      12  58  4;0;0;2;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 2;2; 3
      12  74  1;2;2;2;2;2;1;2;2;2;1;0;0;0;0;1;0;1;0;0;0;0;0;1;1;1;0; ; ; ; ; ; ; ;1;0;0;0; 6;2;13
      12  82  2;2;2;2;1;0;2;2;1;2;1;1;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0; ; ; ; ; ; ; ;0;0;0;0; 8;2;11
      12  82  3;0;0;1;0;1;0;0;0;1;2;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0; ; ; ; ; ; ; ;0;0;0;0; 7;2; 2
      12  97  3;1;0;2;1;0;1;0;2;2;1;2;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0; ; ; ; ; ; ; ;0;0;0;0; 9;2; 5
      12  97  4;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 1;2; 1
